City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Fort Morgan,75,US,1610986594,60,40.2503,-103.8,33.8,17.27
81,Båtsfjord,40,NO,1610986595,93,70.6345,29.7185,35.6,19.57
82,Cururupu,97,BR,1610986595,86,-1.8283,-44.8683,80.76,5.35
83,Sumbe,0,AO,1610986596,65,-11.2061,13.8437,84.2,4.61
84,Asău,90,RO,1610986597,79,46.4333,26.4,16.0,6.91
85,Costineşti,75,RO,1610986598,80,43.95,28.6333,26.01,3.44
86,Maturin,91,VE,1610986598,58,9.75,-63.1767,84.94,6.58
87,Caloundra,100,AU,1610986598,97,-26.8,153.1333,69.01,3.0
88,Lorengau,45,PG,1610986599,76,-2.0226,147.2712,82.85,9.69
89,Port Elizabeth,0,ZA,1610986600,68,-33.918,25.5701,71.6,17.27
90,Filingué,54,NE,1610986600,11,14.3521,3.3168,91.89,14.81
91,Oranjemund,3,NA,1610986600,74,-28.55,16.4333,70.0,13.13
92,Yulara,0,AU,1610986601,19,-25.2406,130.9889,75.2,8.05
93,Otofuke,100,JP,1610986601,96,42.9917,143.2003,14.99,1.88
94,Mar del Plata,0,AR,1610986601,36,-38.0023,-57.5575,82.4,14.97
95,Murygino,89,RU,1610986602,90,58.7383,49.4582,-9.63,3.38
96,Konakovo,50,RU,1610986602,92,56.7,36.7667,-2.92,2.84
97,Barrow,90,US,1610986603,71,71.2906,-156.7887,-0.4,16.11
98,Pho Chai,0,TH,1610986603,60,16.3283,103.7703,58.77,12.91
99,Saint-Joseph,40,RE,1610986603,78,-21.3667,55.6167,82.4,3.44
100,Turukhansk,100,RU,1610986604,85,65.8167,87.9833,-13.61,12.41
101,Ushuaia,75,AR,1610986604,71,-54.8,-68.3,50.0,11.5
102,Olafsvik,27,IS,1610986604,85,64.8945,-23.7142,34.47,15.19
103,Upington,20,ZA,1610986605,21,-28.4478,21.2561,95.0,9.22
104,Esperance,0,AU,1610986605,72,-33.8667,121.9,62.6,14.97
105,Namatanai,53,PG,1610986606,83,-3.6667,152.4333,79.52,8.1
106,Bodaybo,100,RU,1610986606,79,57.8506,114.1933,-25.56,1.66
107,Dikson,1,RU,1610986607,83,73.5069,80.5464,-19.55,21.12
108,Hilo,90,US,1610986607,83,19.7297,-155.09,68.0,4.61
109,Fort Nelson,1,CA,1610986607,48,58.8053,-122.7002,37.4,8.05
110,Ponta do Sol,64,PT,1610986608,60,32.6667,-17.1,61.0,3.0
111,Bluff,75,NZ,1610986608,81,-46.6,168.3333,50.0,4.0
112,Mount Gambier,90,AU,1610986609,94,-37.8333,140.7667,55.4,9.22
113,Butaritari,28,KI,1610986609,80,3.0707,172.7902,80.19,18.92
114,Afuá,80,BR,1610986609,71,-0.1567,-50.3867,84.87,5.77
115,Halifax,90,CA,1610986561,87,44.6453,-63.5724,41.0,18.41
116,Puerto Ayora,20,EC,1610986610,78,-0.7393,-90.3518,80.01,10.36
117,Ribeira Grande,75,PT,1610986611,88,38.5167,-28.7,62.6,20.71
118,Leh,5,IN,1610986611,68,34.1667,77.5833,15.35,3.09
119,Talnakh,100,RU,1610986611,89,69.4865,88.3972,-8.12,2.35
120,Pennāthur,4,IN,1610986612,82,12.25,79.2333,70.05,5.68
121,Booué,68,GA,1610986612,70,-0.0921,11.9385,84.83,2.95
122,Catió,12,GW,1610986613,16,11.2833,-15.25,94.33,8.88
123,Cocal,99,BR,1610986613,70,-28.6167,-49.35,74.77,6.22
124,Paphos,75,CY,1610986613,67,34.7667,32.4167,55.4,2.3
125,Sitka,90,US,1610986614,71,57.0531,-135.33,46.4,11.5
126,Saint George,1,US,1610986614,33,37.1041,-113.5841,39.2,4.61
127,Muyezerskiy,100,RU,1610986614,97,63.9333,31.65,18.46,8.39
128,Codrington,84,AU,1610986615,73,-38.2667,141.9667,57.36,13.31
129,Coffeyville,1,US,1610986615,56,37.0373,-95.6164,41.0,10.36
130,Saint-Philippe,40,RE,1610986616,78,-21.3585,55.7679,82.4,3.44
131,Ahipara,26,NZ,1610986616,84,-35.1667,173.1667,64.45,12.33
132,Uíge,20,AO,1610986616,51,-7.6087,15.0613,86.0,9.22
133,Puerto Peñasco,1,MX,1610986617,42,31.3167,-113.5333,42.8,9.33
134,Bandarbeyla,27,SO,1610986617,60,9.4942,50.8122,76.28,23.8
135,Nsanje,100,MW,1610986617,88,-16.92,35.262,81.12,3.31
136,Adrar,96,MR,1610986618,17,20.5022,-10.0711,72.81,16.15
137,Kas,100,TR,1610986618,72,36.2018,29.6377,45.52,8.12
138,Nouadhibou,34,MR,1610986619,21,20.931,-17.0347,78.8,14.97
139,Avarua,75,CK,1610986619,88,-21.2078,-159.775,77.0,2.3
140,Wewak,32,PG,1610986619,81,-3.5534,143.6268,79.92,2.3
141,Khandyga,71,RU,1610986620,62,62.6667,135.6,-55.75,0.22
142,Yatou,0,CN,1610986620,86,37.15,122.3833,22.06,10.0
143,Sur,0,OM,1610986621,65,22.5667,59.5289,69.39,2.42
144,Klaksvík,90,FO,1610986621,93,62.2266,-6.589,35.6,1.14
145,Tuktoyaktuk,75,CA,1610986621,84,69.4541,-133.0374,-2.2,14.97
146,Okha,43,RU,1610986622,83,53.5739,142.9478,-23.3,12.84
147,Stokmarknes,40,NO,1610986496,100,68.5646,14.9108,30.2,6.91
148,Hithadhoo,9,MV,1610986623,65,-0.6,73.0833,81.48,4.36
149,Laas,20,IT,1610986623,68,46.6166,10.7002,35.01,5.75
150,Oyama,20,JP,1610986623,86,36.3,139.8,45.0,6.91
151,Saint Paul Harbor,90,US,1610986624,87,57.79,-152.4072,42.8,17.27
152,Rio Grande,40,BR,1610986327,53,-32.035,-52.0986,78.01,17.27
153,Montebello,1,US,1610986625,61,34.0095,-118.1053,55.4,1.97
154,Wanning,0,CN,1610986625,73,18.8003,110.3967,57.51,7.4
155,Russell,1,US,1610986626,43,32.3502,-85.1999,51.01,4.61
156,Monrovia,40,LR,1610986626,62,6.3005,-10.7969,89.6,11.5
157,Gizo Government Station,100,SB,1610986626,76,-8.103,156.8419,83.1,8.72
158,Tual,100,ID,1610986627,80,-5.6667,132.75,83.43,17.09
159,Molteno,0,ZA,1610986627,20,-31.3968,26.3625,80.28,6.78
160,Riyadh,0,SA,1610986446,20,24.6877,46.7219,71.6,11.5
161,Hong Kong,43,HK,1610986455,67,22.2855,114.1577,57.99,8.59
162,Doctor Arroyo,65,MX,1610986628,62,23.6667,-100.1833,52.07,5.08
163,Shivrājpur,0,IN,1610986628,60,22.4167,73.65,73.4,4.61
164,Bara,99,NG,1610986629,22,10.3744,10.7288,91.4,8.05
165,Thinadhoo,0,MV,1610986629,61,0.5333,72.9333,81.64,0.6
166,Mezen',100,RU,1610986630,94,65.8522,44.24,6.66,11.48
167,Chui,4,UY,1610986630,49,-33.6971,-53.4616,75.72,9.89
168,Narsaq,40,GL,1610986630,53,60.9167,-46.05,21.2,3.44
169,Makakilo City,75,US,1610986631,83,21.3469,-158.0858,71.6,5.75
170,Vestmannaeyjar,0,IS,1610986631,75,63.4427,-20.2734,37.4,21.85
171,Kulhudhuffushi,1,MV,1610986631,78,6.6221,73.07,81.64,12.8
172,Geraldton,75,AU,1610986632,65,-28.7667,114.6,78.8,4.61
173,Lubao,75,PH,1610986633,69,14.9167,120.55,78.8,6.91
174,Norman Wells,20,CA,1610986633,84,65.282,-126.8329,-5.8,3.44
175,Galveston,20,US,1610986522,72,29.3669,-94.9669,63.0,10.36
176,Batken,61,KG,1610986634,86,39.8333,71.0,26.78,12.06
177,Salina,1,US,1610986553,42,38.8403,-97.6114,45.0,10.36
178,Ilulissat,40,GL,1610986634,57,69.2167,-51.1,15.8,2.3
179,Flinders,15,AU,1610986635,82,-34.5833,150.8552,68.0,1.01
180,Lázaro Cárdenas,80,MX,1610986635,57,17.9583,-102.2,80.96,2.91
181,Tiksi,100,RU,1610986636,87,71.6872,128.8694,-25.11,7.02
182,Kirkland Lake,0,CA,1610986637,66,48.1446,-80.0377,5.0,4.07
183,Severo-Kuril'sk,93,RU,1610986637,93,50.6789,156.125,19.15,37.8
184,Abbeville,100,FR,1610986638,83,50.1,1.8333,44.01,12.82
185,Liwale,97,TZ,1610986638,87,-9.7667,37.9333,75.27,3.22
186,Fortuna,1,US,1610986638,100,40.5982,-124.1573,39.2,10.36
187,Whitehorse,90,CA,1610986639,69,60.7161,-135.0538,30.2,19.57
188,Carnarvon,48,AU,1610986639,83,-24.8667,113.6333,82.4,5.75
189,Mae Hong Son,8,TH,1610986629,67,19.3003,97.9685,64.83,2.59
190,Kirakira,97,SB,1610986640,80,-10.4544,161.9205,80.65,5.68
191,Wiarton,75,CA,1610986641,68,44.7407,-81.1332,26.6,4.61
192,Sistranda,20,NO,1610986641,86,63.7256,8.834,30.2,13.8
193,Ratne,25,UA,1610986642,92,51.6683,24.5303,3.4,3.47
194,Koumac,26,NC,1610986642,81,-20.5667,164.2833,79.81,3.6
195,Tomar do Geru,23,BR,1610986642,36,-11.3733,-37.8406,90.5,12.73
196,Qaanaaq,95,GL,1610986643,77,77.484,-69.3632,1.72,6.17
197,Deputatsky,97,RU,1610986643,84,69.3,139.9,-39.8,2.55
198,Dunedin,51,NZ,1610986644,83,-45.8742,170.5036,53.01,5.01
199,Coquimbo,40,CL,1610986644,77,-29.9533,-71.3436,62.6,14.97
200,Nānākuli,75,US,1610986644,83,21.3906,-158.1547,71.01,5.75
201,Ambajogai,11,IN,1610986604,47,18.7333,76.3833,75.78,7.11
202,Chunoyar,99,RU,1610986645,94,57.4467,97.3217,18.16,11.3
203,Lamas,40,PE,1610986646,43,-6.4167,-76.5333,93.2,12.66
204,Acapulco de Juárez,1,MX,1610986476,69,16.8634,-99.8901,80.6,2.3
205,Walldürn,99,DE,1610986647,76,49.5833,9.3667,37.0,1.99
206,Kaolinovo,94,BG,1610986647,52,43.6167,27.1167,28.0,4.0
207,Pevek,23,RU,1610986648,85,69.7008,170.3133,-31.23,5.7
208,Zvishavane,100,ZW,1610986648,95,-20.3267,30.0665,65.97,11.12
209,Saint-Augustin,99,CA,1610986648,93,51.226,-58.6502,33.13,21.72
210,Niksar,100,TR,1610986649,93,40.5917,36.9517,29.98,4.81
211,Guerrero Negro,0,MX,1610986398,45,27.9769,-114.0611,64.15,4.5
212,Port Hedland,36,AU,1610986514,35,-20.3167,118.5667,91.4,5.75
213,Vigía del Fuerte,63,CO,1610986650,69,6.5789,-76.8863,84.47,4.94
214,Barcelos,0,PT,1610986651,71,41.5388,-8.6151,57.99,4.61
215,Castlemaine,41,AU,1610986651,48,-37.0667,144.2167,55.99,7.76
216,Olmos,100,PE,1610986652,70,-5.9847,-79.7453,79.0,1.99
217,Tadpatri,0,IN,1610986652,65,14.9167,78.0167,74.75,10.65
218,Lebu,0,CL,1610986652,63,-37.6167,-73.65,63.12,21.43
219,Paraopeba,75,BR,1610986653,47,-19.2757,-44.4033,84.2,5.75
220,Clyde River,90,CA,1610986653,85,70.4692,-68.5914,5.0,10.36
221,Umeå,90,SE,1610986654,85,63.8284,20.2597,8.6,4.61
222,Caibarién,40,CU,1610986570,73,22.5206,-79.4669,75.2,9.22
223,Upernavik,100,GL,1610986655,96,72.7868,-56.1549,16.68,6.67
224,Poum,48,NC,1610986656,79,-20.2333,164.0167,82.17,10.49
225,Harsány,99,HU,1610986656,94,47.9667,20.75,21.9,3.13
226,Lockhart,1,US,1610986656,51,28.6194,-81.4426,64.0,9.22
227,Hofn,75,IS,1610986657,60,64.2539,-15.2082,39.2,25.32
228,Lakes Entrance,84,AU,1610986657,80,-37.8811,147.981,59.0,1.99
229,Kamwenge,99,UG,1610986658,37,0.1866,30.4539,78.08,3.69
230,Channel-Port aux Basques,100,CA,1610986658,83,47.5702,-59.1367,35.89,20.07
231,Colares,0,PT,1610986658,63,38.7992,-9.4469,60.8,5.75
232,Alofi,40,NU,1610986659,94,-19.0595,-169.9187,73.4,10.69
233,Zyryanka,91,RU,1610986659,81,65.75,150.85,-39.24,5.97
234,Taltal,3,CL,1610986660,61,-25.4,-70.4833,70.68,6.49
235,Tazovsky,100,RU,1610986660,90,67.4667,78.7,-12.6,9.48
236,North Battleford,90,CA,1610986661,86,52.7834,-108.2847,28.4,12.66
237,Taoudenni,98,ML,1610986661,19,22.6783,-3.9836,73.06,15.88
238,Vardø,20,NO,1610986662,80,70.3705,31.1107,28.4,19.57
239,Bud,65,US,1610986662,93,39.447,-86.1758,30.0,11.03
240,Mattru,35,SL,1610986662,19,7.6244,-11.8332,92.93,3.53
241,Hokitika,91,NZ,1610986663,77,-42.7167,170.9667,57.49,10.04
242,Margate,100,GB,1610986663,78,51.3813,1.3862,43.0,1.01
243,Ileza,98,RU,1610986664,95,61.0533,43.9002,3.15,4.12
244,Pisco,0,PE,1610986651,73,-13.7,-76.2167,73.0,10.36
245,Wiltz,100,LU,1610986664,69,49.9689,5.9319,37.99,11.68
